+---------+-------------------+----------------+------------+-----------------+
| month   | specialty_name    | encounter_type | encounters | unique_patients |
+---------+-------------------+----------------+------------+-----------------+
| 2023-01 | Cardiology        | ER             |        384 |             252 |
| 2023-01 | Cardiology        | Inpatient      |        220 |             145 |
| 2023-01 | Cardiology        | Outpatient     |        434 |             284 |
| 2023-01 | Emergency         | Inpatient      |        385 |             253 |
| 2023-01 | Emergency         | Outpatient     |        654 |             429 |
| 2023-01 | Endocrinology     | ER             |        312 |             206 |
| 2023-01 | Endocrinology     | Outpatient     |        727 |             475 |
| 2023-01 | Family Medicine   | ER             |        332 |             219 |
| 2023-01 | Family Medicine   | Outpatient     |        711 |             465 |
| 2023-01 | Gastroenterology  | ER             |        384 |             253 |
| 2023-01 | Gastroenterology  | Outpatient     |        654 |             428 |
| 2023-01 | Internal Medicine | ER             |        152 |             100 |
| 2023-01 | Internal Medicine | Inpatient      |        174 |             114 |
| 2023-01 | Internal Medicine | Outpatient     |        771 |             507 |
| 2023-01 | Nephrology        | ER             |        155 |             102 |
| 2023-01 | Nephrology        | Outpatient     |        939 |             621 |
| 2023-01 | Neurology         | ER             |        130 |              86 |
| 2023-01 | Neurology         | Outpatient     |        954 |             627 |
| 2023-01 | Oncology          | ER             |        135 |              88 |
| 2023-01 | Oncology          | Inpatient      |        377 |             247 |
| 2023-01 | Oncology          | Outpatient     |        577 |             379 |
| 2023-01 | Orthopedics       | Inpatient      |        112 |              74 |
| 2023-01 | Orthopedics       | Outpatient     |        956 |             628 |
| 2023-01 | Psychiatry        | ER             |        336 |             221 |
| 2023-01 | Psychiatry        | Outpatient     |        711 |             468 |
| 2023-01 | Pulmonology       | ER             |        358 |             235 |
| 2023-01 | Pulmonology       | Outpatient     |        711 |             467 |
| 2023-02 | Cardiology        | ER             |        168 |             111 |
| 2023-02 | Cardiology        | Outpatient     |        812 |             535 |
| 2023-02 | Emergency         | ER             |        372 |             245 |
| 2023-02 | Emergency         | Outpatient     |        637 |             420 |
| 2023-02 | Endocrinology     | ER             |        211 |             139 |
| 2023-02 | Endocrinology     | Inpatient      |         51 |              34 |
| 2023-02 | Endocrinology     | Outpatient     |        700 |             461 |
| 2023-02 | Family Medicine   | ER             |         52 |              35 |
